text,start,end,CUI,term,similarity
"inflammatory bowel disease",70,96,C0021390,"inflammatory bowel disease",1.00
"inflammatory bowel disease",70,96,C0592458,"inflammatory bowel disease drug",0.83
"inflammatory bowel disease",70,96,C0021390,"ibd - inflammatory bowel disease",0.80
"inflammatory bowel disease",70,96,C0592458,"inflammatory bowel disease agent",0.80
"left lateral position",225,246,C0559227,"left lateral position",1.00
"left lateral position",225,246,C0444379,"lateral position",0.74
"left lateral position",225,246,C0426141,"left lateral brow position",0.72
"external hemorrhoids",441,461,C0265040,"external hemorrhoids",1.00
"external hemorrhoids",441,461,C0265040,"external hemorrhoid",0.94
"external hemorrhoids",441,461,C0265034,"internal hemorrhoids",0.80
"external hemorrhoids",441,461,C0265040,"external hemorrhoids, nos",0.78
"external hemorrhoids",441,461,C0265034,"internal hemorrhoid",0.75
"external hemorrhoids",441,461,C0564752,"external hemorrhoids -other",0.72
"external hemorrhoids",441,461,C0193104,"external hemorrhoidectomy",0.71
"internal hemorrhoids",1184,1204,C0265034,"internal hemorrhoids",1.00
"internal hemorrhoids",1184,1204,C0265034,"internal hemorrhoid",0.94
"internal hemorrhoids",1184,1204,C0265040,"external hemorrhoids",0.80
"internal hemorrhoids",1184,1204,C0265034,"internal hemorrhoids, nos",0.78
"internal hemorrhoids",1184,1204,C0265040,"external hemorrhoid",0.75
"internal hemorrhoids",1184,1204,C0193105,"internal hemorrhoidectomy",0.71
"internal hemorrhoids",1355,1375,C0265034,"internal hemorrhoids",1.00
"internal hemorrhoids",1355,1375,C0265034,"internal hemorrhoid",0.94
"internal hemorrhoids",1355,1375,C0265040,"external hemorrhoids",0.80
"internal hemorrhoids",1355,1375,C0265034,"internal hemorrhoids, nos",0.78
"internal hemorrhoids",1355,1375,C0265040,"external hemorrhoid",0.75
"internal hemorrhoids",1355,1375,C0193105,"internal hemorrhoidectomy",0.71
"abnormal CT scan",43,59,C0436539,"abnormal ct scan",1.00
"Rectal bleeding",12,27,C0267596,"rectal bleeding",1.00
"ileocecal valve",644,659,C0020880,"ileocecal valve",1.00
"sessile polyp",875,888,C0522621,"sessile polyp",1.00
"approximately",1544,1557,C0332232,"approximately",1.00
"constipation",29,41,C0009806,"constipation",1.00
"colonoscope",480,491,C0180022,"colonoscope",1.00
"colonoscope",480,491,C0009378,"colonoscopy",0.80
"colonoscope",923,934,C0180022,"colonoscope",1.00
"colonoscope",923,934,C0009378,"colonoscopy",0.80
"diverticula",1110,1121,C0012817,"diverticula",1.00
"colonoscopy",1397,1408,C0009378,"colonoscopy",1.00
"colonoscopy",1397,1408,C0180022,"colonoscope",0.80
"difficulty",566,576,C1299586,"difficulty",1.00
"difficulty",566,576,C0332218,"difficult",0.88
"difficulty",566,576,C0563560,"difficulty wb",0.73
"identified",665,675,C0205396,"identified",1.00
"identified",665,675,C0205427,"unidentified",0.80
"identified",665,675,C0600091,"identifier",0.78
"completely",907,917,C4554154,"completely",1.00
"completely",907,917,C0205197,"complete",0.75
"procedure",119,128,C0184661,"procedure",1.00
"procedure",119,128,C0449999,"subprocedure",0.70
"procedure",119,128,C1144702,"ct procedure",0.70
"PROCEDURE",147,156,C0184661,"procedure",1.00
"PROCEDURE",147,156,C0449999,"subprocedure",0.70
"PROCEDURE",147,156,C1144702,"ct procedure",0.70
"procedure",357,366,C0184661,"procedure",1.00
"procedure",357,366,C0449999,"subprocedure",0.70
"procedure",357,366,C1144702,"ct procedure",0.70
"performed",392,401,C0884358,"performed",1.00
"performed",392,401,C1689969,"performer",0.75
"performed",392,401,C2947996,"perform",0.71
"ascending",865,874,C0205385,"ascending",1.00
"withdrawn",944,953,C0424092,"withdrawn",1.00
"endoscope",1212,1221,C0014243,"endoscope",1.00
"endoscope",1212,1221,C0014245,"endoscopy",0.75
"procedure",1242,1251,C0184661,"procedure",1.00
"procedure",1242,1251,C0449999,"subprocedure",0.70
"procedure",1242,1251,C1144702,"ct procedure",0.70
"procedure",1292,1301,C0184661,"procedure",1.00
"procedure",1292,1301,C0449999,"subprocedure",0.70
"procedure",1292,1301,C1144702,"ct procedure",0.70
"obtained",185,193,C1301820,"obtained",1.00
"adequate",292,300,C0205411,"adequate",1.00
"adequate",292,300,C0205412,"inadequate",0.75
"sedation",301,309,C0344106,"sedation",1.00
"advanced",521,529,C0205179,"advanced",1.00
"increase",1434,1442,C0442805,"increase",1.00
"increase",1434,1442,C0205217,"increased",0.86
"patient",199,206,C0030705,"patient",1.00
"patient",199,206,C0021562,"inpatient",0.71
"Digital",368,375,C0442015,"digital",1.00
"Digital",368,375,C0012252,"digitalis",0.71
"Digital",368,375,C0304520,"digitalis",0.71
"Digital",368,375,C0058012,"digitalin",0.71
"quality",681,688,C0332306,"quality",1.00
"removal",758,765,C0015252,"removal",1.00
"removal",839,846,C0015252,"removal",1.00
